label,size,cycles,ms,dram_read_bytes,dram_write_bytes,dram_weight_bytes,dram_activation_bytes,dram_kv_bytes
decode_N1,1,5887604,5.887604,189760780,9945588,193560584,6145784,0
decode_N2,2,5964379,5.964379,190016040,10232808,193576992,6671856,0
decode_N4,4,5982833,5.982833,190549248,10807248,193609792,7746704,0
decode_N8,8,6028064,6.028064,191592960,11956128,193675392,9873696,0
decode_N16,16,6119943,6.119943,193720064,14253888,193806592,14167360,0
decode_N24,24,6209207,6.209207,195827328,16551648,193937792,18441184,0
decode_N32,32,6300272,6.300272,197934592,18849408,194068992,22715008,0
decode_N40,40,6392374,6.392374,200041856,21147168,194200192,26988832,0
decode_N48,48,6484620,6.48462,202149120,23444928,194331392,31262656,0
decode_N64,64,6670888,6.670888,206000384,28040448,194593792,39447040,0
