label,size,cycles,ms,dram_read_bytes,dram_write_bytes,dram_weight_bytes,dram_activation_bytes,dram_kv_bytes
decode_N1,1,5800459,5.800459,189760780,9945588,193560584,6145784,0
decode_N2,2,5959288,5.959288,190044288,10232808,193576992,6700104,0
decode_N4,4,5989626,5.989626,190549248,10807248,193609792,7746704,0
decode_N8,8,6036362,6.036362,191592960,11956128,193675392,9873696,0
decode_N16,16,6129318,6.129318,193680384,14253888,193806592,14127680,0
decode_N24,24,6221689,6.221689,195767808,16551648,193937792,18381664,0
decode_N32,32,6314016,6.314016,197855232,18849408,194068992,22635648,0
decode_N40,40,6406356,6.406356,199942656,21147168,194200192,26889632,0
decode_N48,48,6498831,6.498831,202030080,23444928,194331392,31143616,0
decode_N64,64,6666827,6.666827,206204928,28040448,194593792,39651584,0
decode_N96,96,9492761,9.492761,214554624,37231488,195118592,56667520,0
decode_N128,128,12451685,12.451685,222904320,46422528,195643392,73683456,0
